OST=mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws PORT=443 INDEX=kms-index-sop-oz SERVICE=aoss REGION=ap-southeast-1
2026-08-20 06:44:18 | INFO     | app.vectordb.opensearch_client | [5969cc62] [opensearch_client] Searching index: 'kms-index-sop-oz'
2026-08-20 06:44:18 | INFO     | app.vectordb.opensearch_client | [5969cc62] [opensearch_client] Hybrid query: knn on field 'embedding' (k=20, vector length=1024) + match on field 'content' (boost=1.0) for question='Question- what is the process for completing form-120141 during a market or consignment transfer, and can any of the steps happens at the same time?'
2026-08-20 06:44:18 | INFO     | opensearch | POST https://mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws:443/kms-index-sop-oz/_search [status:200 request:0.554s]
2026-08-20 06:44:18 | INFO     | app.vectordb.opensearch_client | [5969cc62] [opensearch_client] Top score in candidate pool: 18.3698 (use this to calibrate config.MIN_ABSOLUTE_SCORE - NOTE: this is a raw, unbounded score again, not the 0-1 normalized score from the brief normalized-hybrid-search experiment, so any MIN_ABSOLUTE_SCORE value calibrated against that 0-1 scale is no longer valid)
2026-08-20 06:44:18 | INFO     | app.vectordb.opensearch_client | [5969cc62] [opensearch_client] DIAGNOSTIC - top-level keys actually present on this document: ['document_name', 'metadata', 'section', 'page', 'document_id', 'chunk_id', 'chunk_type', 'content']
2026-08-20 06:44:18 | INFO     | app.vectordb.opensearch_client | [5969cc62] [opensearch_client] Hybrid search returned 10 relevant chunk(s) (of 20 candidate(s) fetched)
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node] Retrieved 10 chunk(s) from OpenSearch
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     1. document='SOP - EU consignment Transfers' page=13 section='5.2.' - 'Step Responsible Action step Role 1 Steps 2 to 9 Can proceed simultaneously 2 Receiving Obtain appropriate COA/COC marke'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     2. document='SOP - EU consignment Transfers' page=8 section='5.2.' - 'Step Responsible Role Action step 1 Steps 2 to 9 Can proceed simultaneously 2 Receiving market Obtain appropriate COA/CO'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     3. document='SOP - EU consignment Transfers' page=10 section='5.2.' - '[TABLE START] +------+----------------------------------------------------+---------------------------------------------'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     4. document='SOP - EU consignment Transfers' page=10 section='5.2.' - 'Step Responsible Action step Role 1 Steps 2 to 9 Can proceed simultaneously 2 Receiving Obtain appropriate COA/COC marke'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     5. document='SOP - PEBV market transfers ' page=9 section='5.2.' - 'Step Responsible Action step Role 1 Receiving Obtain appropriate COA/COC or request market to provide market (LMR) chang'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     6. document='SOP - EU consignment Transfers' page=8 section='5.2.' - '[TABLE START] +------+----------------------------------------------------+---------------------------------------------'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     7. document='SOP - EU consignment Transfers' page=16 section='5.2.' - 'value) and Transfer within Slovakian market one consignment location to another. 5.1 Update how to complete EU consignme'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     8. document='SOP - EU consignment Transfers' page=13 section='5.2.' - '[TABLE START] +------+----------------------------------------------------+---------------------------------------------'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     9. document='SOP - PEBV market transfers ' page=7 section='5.2.' - '[TABLE START] +------+----------------------------------------------------+---------------------------------------------'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [retrieve_node]     10. document='SOP - EU consignment Transfers' page=16 section='5.2.' - '[TABLE START] +---------+-----------------------------------------------------------------------------------------------'
2026-08-20 06:44:18 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [detect_conflict_node] Checking for a genuine conflict...
2026-08-20 06:44:20 | INFO     | app.llm.bedrock_client | [5969cc62] [bedrock_client] Claude call took 2.15s, stop_reason='end_turn'
2026-08-20 06:44:20 | INFO     | app.llm.bedrock_client | [5969cc62] [bedrock_client] conflict_detected=True
2026-08-20 06:44:20 | INFO     | app.graph.nodes.rag_nodes | [5969cc62] [generate_conflict_node] Generating two answers (conflict)...
2026-08-20 06:44:42 | INFO     | app.llm.bedrock_client | [5969cc62] [bedrock_client] Claude call took 21.13s, stop_reason='end_turn'
